description,endTimestamp,fromLat,fromLon,impact,isBothDirections,lightVehicle,networkPointFromLinkName,startTimestamp,status,subtypeCodes,subtypeNames,totalLanes,type
PODA,2019-02-20T16:00:00Z,-34.547996520996094,-58.47607421875,Menor,False,0,CONESA,2019-02-20T11:47:00Z,Activo,2,Obras en calzada,0,Corte NO programado
PODA,2019-02-20T16:00:00Z,-34.61625289916992,-58.45000076293945,Menor,False,0,PAYSANDU,2019-02-20T11:51:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
VALLADO POLICIAL,2019-02-20T15:17:10Z,-34.60929489135742,-58.393409729003906,Severo,False,0,RIVADAVIA AV.,2019-02-20T14:05:00Z,Terminado,4,Manifestación,0,Corte NO programado
VALLADO POLICIAL,2019-02-20T15:16:59Z,-34.610347747802734,-58.39188003540039,Severo,False,0,ENTRE RIOS AV.,2019-02-20T14:07:00Z,Terminado,4,Manifestación,0,Corte NO programado
OBRAS ,2019-03-09T02:59:00Z,-34.62753234181785,-58.384331593570906,Ninguno,False,0,SANTIAGO DEL ESTERO,2019-02-20T11:00:00Z,Resuelto,1,Obras en calzada,0,Corte programado
PODA,2019-02-20T18:00:00Z,-34.655555725097656,-58.50719451904297,Menor,False,0,"ALBERDI, JUAN BAUTISTA AV.",2019-02-20T14:42:00Z,Activo,2,Obras en calzada,0,Corte NO programado
OPERATIVO DE BOMBEROS,2019-03-25T15:11:29Z,-34.61848449707031,-58.38024139404297,Considerable,False,0,"IRIGOYEN, BERNARDO de",2019-02-20T16:17:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
OBRAS ,2019-03-23T02:59:00Z,-34.55807206740107,-58.450053348513926,Menor,False,0,ARRIBE�OS,2019-02-20T11:00:00Z,Terminado,1,Obras en calzada,0,Corte programado
MANIFESTACION,2019-02-22T18:13:18Z,-34.609249114990234,-58.39131546020508,Severo,False,0,CALZADA CIRCULAR PLAZA DE LOS CONGRESOS,2019-02-22T13:46:00Z,Terminado,4,Manifestación,0,Corte NO programado
Corte total por vallado policial,2019-02-22T23:29:42Z,-34.57735320534701,-58.417276214419736,Severo,False,0,SARMIENTO AV.,2019-02-22T18:13:50Z,Terminado,7,Riesgo en calzada,0,Corte NO programado
CORTE TOTAL POR VALLADO POLICIAL,2019-03-21T15:01:12Z,-34.57735923111066,-58.417269107095585,Severo,False,0,SARMIENTO AV.,2019-02-27T20:47:00Z,Resuelto,4,Manifestación,0,Corte NO programado
INSTITUCIONAL - ACTO ,2019-03-01T01:00:00Z,-34.60043402164851,-58.383880091728095,Menor,False,0,LIBERTAD,2019-02-28T19:30:00Z,Terminado,1,Obras en calzada,0,Corte programado
OBRAS ,2019-04-04T13:00:00Z,-34.557157980024215,-58.45093011120296,Menor,False,0,ARRIBE�OS,2019-02-28T13:00:00Z,Inactivo,1,Obras en calzada,0,Corte programado
DESVIO DE AGENTES,2019-03-25T13:57:23Z,-34.61376953125,-58.3917236328125,Severo,False,0,ENTRE RIOS AV.,2019-03-01T10:23:00Z,Terminado,4,Manifestación,0,Corte NO programado
OBRAS ,2019-03-30T15:00:00Z,-34.64788498797717,-58.41227042137929,Menor,False,0,CACHI,2019-03-08T15:00:00Z,Terminado,1,Obras en calzada,2,Corte programado
"Corte total, por manifestacion",2019-03-22T14:57:34Z,-34.60165818936685,-58.385275080202966,Severo,False,0,TALCAHUANO,2019-03-13T21:46:04Z,Terminado,4,Manifestación,2,Corte NO programado
OPERATIVO POLICIAL,2019-03-25T13:54:40Z,-34.59160232543945,-58.381561279296875,Severo,False,0,ARROYO,2019-03-18T13:02:00Z,Terminado,2,Obras en calzada,2,Corte NO programado
"Corrientes entre Callao y Libertad, corte parcial por obras. de Corrientes Peatonal",2019-04-30T15:56:00Z,-34.604434967041016,-58.39228820800781,Considerable,False,0,CORRIENTES AV.,2019-03-25T15:56:00Z,Terminado,,,2,Cierre de carril
"Quinquela Martin entre Jovellanos y Azara, corte total por obras",2019-05-31T17:57:00Z,-34.643287658691406,-58.37142562866211,Menor,False,0,"QUINQUELA MARTIN, BENITO",2019-03-25T17:57:00Z,Inactivo,1,Obras en calzada,2,Corte programado
"Erezcano entre Perito Moreno y F. de la Cruz, corte total por obras. ",2019-06-30T18:30:00Z,-34.650455474853516,-58.43293762207031,Menor,False,0,EREZCANO,2019-03-25T18:30:00Z,Activo,2,Obras en calzada,2,Corte NO programado
"Larralde entre Grecia y O´Higgins, corte total del PAN por obras. Mejoras del FFCC Mitre",2019-04-15T18:55:00Z,-34.546478271484375,-58.463253021240234,Considerable,False,0,"LARRALDE, CRISOLOGO",2019-03-25T18:54:00Z,Inactivo,1,Obras en calzada,2,Corte programado
Niceto Vega entre Humboldt y Darein por obras del Viaducto San Martin. ,2020-03-16T15:31:00Z,-34.587425231933594,-58.43832778930664,Considerable,False,0,"VEGA, NICETO, Cnel. AV.",2019-03-26T15:32:08Z,Activo,1,Obras en calzada,2,Corte programado
"Garmendia entre Warnes y Avalos, corte parcial por obras del Viaducto elevado FF.CC San Martin",2019-04-12T16:24:00Z,-34.595333099365234,-58.4651985168457,Menor,False,0,GARMENDIA AV.,2019-03-26T16:25:25Z,Resuelto,1,Obras en calzada,2,Corte programado
"Av. cordoba entre Uriburu y  Azcuenaga, corte parcial por obras de ensanchamiento de cerco en el marco de la obra ""Plaza Dr. Bdo. Houssay.""",2019-04-05T16:47:00Z,-34.59975814819336,-58.39872741699219,Considerable,False,0,CORDOBA AV.,2019-03-26T16:48:18Z,Resuelto,1,Obras en calzada,2,Corte programado
"Av. La Plata entre Tabare y Saenz, corte total por peligro de derrumbe",2019-07-31T17:39:00Z,-34.647132873535156,-58.4191780090332,Menor,False,0,LA PLATA AV.,2019-03-26T17:40:31Z,Inactivo,1,Obras en calzada,2,Corte programado
CORTE TOTAL POR EVENTO,2019-03-26T21:10:19Z,-34.621559143066406,-58.39155578613281,Severo,False,0,HUMBERTO 1�,2019-03-26T17:40:00Z,Terminado,4,Manifestación,2,Corte NO programado
"Av. Callao entre Av. Corrientes, corte parciall por obras en vereda. ",2019-05-31T18:58:00Z,-34.603153228759766,-58.392391204833984,Considerable,False,0,CALLAO AV.,2019-03-26T18:59:08Z,Terminado,2,Obras en calzada,2,Corte NO programado
"Montenegro entre Santos Dumont y Concepcion Arenal, corte total por obras del Viaducto San Martin. ",2019-03-28T19:13:00Z,-34.59639358520508,-58.45606994628906,Menor,False,0,MONTENEGRO,2019-03-26T19:14:34Z,Resuelto,1,Obras en calzada,2,Corte programado
CORTE TOTAL POR OPERATIVO POLICIAL,2019-03-26T23:18:02Z,-34.5890998840332,-58.382179260253906,Severo,False,0,CERRITO,2019-03-26T22:45:00Z,Terminado,7,Riesgo en calzada,2,Corte NO programado
Juan b. Justo entre Cabrera y Castillo corte total por elevacion del viaducto San Martin. ,2019-04-10T14:21:00Z,-34.5888557434082,-58.43825149536133,Considerable,False,0,"JUSTO, JUAN B. AV.",2019-03-27T14:22:22Z,Resuelto,1,Obras en calzada,2,Corte programado
"Buenos Aires:. Debido a Obras en calzada en JUSTO, JUAN B. AV. (S) entre  CABRERA, JOSE A. y  VEGA, NICETO, Cnel. AV.",2019-04-10T14:24:00Z,-34.58669662475586,-58.43678665161133,Considerable,False,0,"JUSTO, JUAN B. AV.",2019-03-27T14:25:26Z,Resuelto,1,Obras en calzada,2,Corte programado
Corte total del paso a nivel Ramallo entre 11 de Septiembre y 3 de Febrero por obas,2019-05-02T14:52:00Z,-34.53957748413086,-58.46584701538086,Considerable,False,0,RAMALLO,2019-03-27T14:53:10Z,Inactivo,1,Obras en calzada,2,Corte programado
"Prueba Manifestación:. En CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-03-31T21:12:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-03-31T19:13:37Z,Cancelado,,,2,Manifestación
